"","Sample","In.reads","In.bases","Trimmed.reads","TR.percent","Trimmed.bases","TB.percent","Kept.reads","KR.percent","Kept.bases","KB.percent"
"1","Sample_A01_MM001.bbduk.stats.log:Input:",6299168,314958400,1702403,"(27.03%)",38253847,"(12.15%)",5614995,"(89.14%)",276704553,"(87.85%)"
"2","Sample_A02_MM001.bbduk.stats.log:Input:",5436352,271817600,1560353,"(28.70%)",37835212,"(13.92%)",4749158,"(87.36%)",233982388,"(86.08%)"
"4","Sample_A03_MM001.bbduk.stats.log:Input:",6958144,347907200,1874908,"(26.95%)",43060707,"(12.38%)",6184680,"(88.88%)",304846493,"(87.62%)"
"5","Sample_A04_MM001.bbduk.stats.log:Input:",9905584,495279200,2513135,"(25.37%)",54321578,"(10.97%)",8941971,"(90.27%)",440957622,"(89.03%)"
"6","Sample_A05_MM001.bbduk.stats.log:Input:",6462968,323148400,1663576,"(25.74%)",35808268,"(11.08%)",5828292,"(90.18%)",287340132,"(88.92%)"
"7","Sample_A06_MM001.bbduk.stats.log:Input:",5909593,295479650,1618249,"(27.38%)",36331619,"(12.30%)",5260035,"(89.01%)",259148031,"(87.70%)"
"8","Sample_A07_MM001.bbduk.stats.log:Input:",6718636,335931800,1846818,"(27.49%)",42224463,"(12.57%)",5961039,"(88.72%)",293707337,"(87.43%)"
"9","Sample_A08_MM001.bbduk.stats.log:Input:",9043450,452172500,2231935,"(24.68%)",47278103,"(10.46%)",8208493,"(90.77%)",404894397,"(89.54%)"
"10","Sample_A09_MM001.bbduk.stats.log:Input:",6281781,314089050,1656619,"(26.37%)",36553196,"(11.64%)",5630496,"(89.63%)",277535854,"(88.36%)"
"11","Sample_A10_MM001.bbduk.stats.log:Input:",5226381,261319050,1444599,"(27.64%)",32323455,"(12.37%)",4648727,"(88.95%)",228995595,"(87.63%)"
"12","Sample_A11_MM001.bbduk.stats.log:Input:",7175757,358787850,2008703,"(27.99%)",46565658,"(12.98%)",6337768,"(88.32%)",312222192,"(87.02%)"
"13","Sample_A12_MM001.bbduk.stats.log:Input:",10764277,538213850,2762900,"(25.67%)",58125100,"(10.80%)",9739527,"(90.48%)",480088750,"(89.20%)"
"14","Sample_B01_MM001.bbduk.stats.log:Input:",8393986,419699300,2321643,"(27.66%)",54061105,"(12.88%)",7419967,"(88.40%)",365638195,"(87.12%)"
"15","Sample_B02_MM001.bbduk.stats.log:Input:",8300015,415000750,2373194,"(28.59%)",55973094,"(13.49%)",7289325,"(87.82%)",359027656,"(86.51%)"
"16","Sample_B03_MM001.bbduk.stats.log:Input:",6830661,341533050,1859447,"(27.22%)",42591948,"(12.47%)",6066056,"(88.81%)",298941102,"(87.53%)"
"17","Sample_B04_MM001.bbduk.stats.log:Input:",11548861,577443050,2916236,"(25.25%)",63155446,"(10.94%)",10428242,"(90.30%)",514287604,"(89.06%)"
"18","Sample_B05_MM001.bbduk.stats.log:Input:",7660057,383002850,2042319,"(26.66%)",45147957,"(11.79%)",6855332,"(89.49%)",337854893,"(88.21%)"
"19","Sample_B06_MM001.bbduk.stats.log:Input:",5815078,290753900,1644409,"(28.28%)",38428885,"(13.22%)",5122131,"(88.08%)",252325015,"(86.78%)"
"20","Sample_B07_MM001.bbduk.stats.log:Input:",7895155,394757750,2271693,"(28.77%)",52633554,"(13.33%)",6948094,"(88.00%)",342124196,"(86.67%)"
"21","Sample_B08_MM001.bbduk.stats.log:Input:",11219435,560971750,2907471,"(25.91%)",63832614,"(11.38%)",10083291,"(89.87%)",497139136,"(88.62%)"
"22","Sample_B09_MM001.bbduk.stats.log:Input:",7819553,390977650,2118443,"(27.09%)",47382944,"(12.12%)",6972914,"(89.17%)",343594706,"(87.88%)"
"23","Sample_B10_MM001.bbduk.stats.log:Input:",6710511,335525550,1792744,"(26.72%)",39135980,"(11.66%)",6014939,"(89.63%)",296389570,"(88.34%)"
"24","Sample_B11_MM001.bbduk.stats.log:Input:",7115858,355792900,1944889,"(27.33%)",43936445,"(12.35%)",6329284,"(88.95%)",311856455,"(87.65%)"
"25","Sample_B12_MM001.bbduk.stats.log:Input:",8338546,416927300,2093468,"(25.11%)",43523808,"(10.44%)",7573139,"(90.82%)",373403492,"(89.56%)"
"26","Sample_C01_MM001.bbduk.stats.log:Input:",9660955,483047750,2691116,"(27.86%)",61723268,"(12.78%)",8552354,"(88.52%)",421324482,"(87.22%)"
"27","Sample_C02_MM001.bbduk.stats.log:Input:",7042055,352102750,1939567,"(27.54%)",45553854,"(12.94%)",6220062,"(88.33%)",306548896,"(87.06%)"
